<com.macro.mall.config.OssConfig: com.aliyun.oss.OSSClient ossClient()>---><com.aliyun.oss.OSSClient: void <init>(java.lang.String,java.lang.String,java.lang.String)>
<com.macro.mall.service.impl.PmsProductServiceImpl: void handleUpdateSkuStockList(java.lang.Long,com.macro.mall.dto.PmsProductParam)>---><cn.hutool.core.collection.CollUtil: boolean isEmpty(java.util.Collection)>
<com.macro.mall.service.impl.PmsProductServiceImpl: void handleUpdateSkuStockList(java.lang.Long,com.macro.mall.dto.PmsProductParam)>---><cn.hutool.core.collection.CollUtil: boolean isNotEmpty(java.util.Collection)>
<com.macro.mall.service.impl.PmsProductServiceImpl: void handleUpdateSkuStockList(java.lang.Long,com.macro.mall.dto.PmsProductParam)>---><cn.hutool.core.collection.CollUtil: boolean isNotEmpty(java.util.Collection)>
<com.macro.mall.service.impl.PmsProductServiceImpl: void handleUpdateSkuStockList(java.lang.Long,com.macro.mall.dto.PmsProductParam)>---><cn.hutool.core.collection.CollUtil: boolean isNotEmpty(java.util.Collection)>
<com.macro.mall.service.impl.PmsProductServiceImpl: java.util.List list(com.macro.mall.dto.PmsProductQueryParam,java.lang.Integer,java.lang.Integer)>---><com.github.pagehelper.PageHelper: com.github.pagehelper.Page startPage(int,int)>
<com.macro.mall.service.impl.PmsProductServiceImpl: void relateAndInsertList(java.lang.Object,java.util.List,java.lang.Long)>---><org.slf4j.Logger: void warn(java.lang.String,java.lang.Object)>
<com.macro.mall.service.impl.PmsProductServiceImpl: void <clinit>()>---><org.slf4j.LoggerFactory: org.slf4j.Logger getLogger(java.lang.Class)>
<com.macro.mall.service.impl.UmsMenuServiceImpl: java.util.List list(java.lang.Long,java.lang.Integer,java.lang.Integer)>---><com.github.pagehelper.PageHelper: com.github.pagehelper.Page startPage(int,int)>
<com.macro.mall.service.impl.UmsResourceServiceImpl: java.util.List list(java.lang.Long,java.lang.String,java.lang.String,java.lang.Integer,java.lang.Integer)>---><com.github.pagehelper.PageHelper: com.github.pagehelper.Page startPage(int,int)>
<com.macro.mall.service.impl.UmsResourceServiceImpl: java.util.List list(java.lang.Long,java.lang.String,java.lang.String,java.lang.Integer,java.lang.Integer)>---><cn.hutool.core.util.StrUtil: boolean isNotEmpty(java.lang.CharSequence)>
<com.macro.mall.service.impl.UmsResourceServiceImpl: java.util.List list(java.lang.Long,java.lang.String,java.lang.String,java.lang.Integer,java.lang.Integer)>---><cn.hutool.core.util.StrUtil: boolean isNotEmpty(java.lang.CharSequence)>
<com.macro.mall.service.impl.PmsProductAttributeCategoryServiceImpl: java.util.List getList(java.lang.Integer,java.lang.Integer)>---><com.github.pagehelper.PageHelper: com.github.pagehelper.Page startPage(int,int)>
<com.macro.mall.service.impl.PmsProductAttributeServiceImpl: java.util.List getList(java.lang.Long,java.lang.Integer,java.lang.Integer,java.lang.Integer)>---><com.github.pagehelper.PageHelper: com.github.pagehelper.Page startPage(int,int)>
<com.macro.mall.service.impl.SmsHomeNewProductServiceImpl: java.util.List list(java.lang.String,java.lang.Integer,java.lang.Integer,java.lang.Integer)>---><com.github.pagehelper.PageHelper: com.github.pagehelper.Page startPage(int,int)>
<com.macro.mall.service.impl.SmsHomeRecommendSubjectServiceImpl: java.util.List list(java.lang.String,java.lang.Integer,java.lang.Integer,java.lang.Integer)>---><com.github.pagehelper.PageHelper: com.github.pagehelper.Page startPage(int,int)>
<com.macro.mall.service.impl.SmsCouponServiceImpl: java.util.List list(java.lang.String,java.lang.Integer,java.lang.Integer,java.lang.Integer)>---><com.github.pagehelper.PageHelper: com.github.pagehelper.Page startPage(int,int)>
<com.macro.mall.service.impl.UmsAdminServiceImpl: com.macro.mall.model.UmsAdmin register(com.macro.mall.dto.UmsAdminParam)>---><cn.hutool.crypto.digest.BCrypt: java.lang.String hashpw(java.lang.String)>
<com.macro.mall.service.impl.UmsAdminServiceImpl: cn.dev33.satoken.stp.SaTokenInfo login(java.lang.String,java.lang.String)>---><cn.hutool.core.util.StrUtil: boolean isEmpty(java.lang.CharSequence)>
<com.macro.mall.service.impl.UmsAdminServiceImpl: cn.dev33.satoken.stp.SaTokenInfo login(java.lang.String,java.lang.String)>---><cn.hutool.core.util.StrUtil: boolean isEmpty(java.lang.CharSequence)>
<com.macro.mall.service.impl.UmsAdminServiceImpl: cn.dev33.satoken.stp.SaTokenInfo login(java.lang.String,java.lang.String)>---><cn.hutool.crypto.digest.BCrypt: boolean checkpw(java.lang.String,java.lang.String)>
<com.macro.mall.service.impl.UmsAdminServiceImpl: cn.dev33.satoken.stp.SaTokenInfo login(java.lang.String,java.lang.String)>---><cn.dev33.satoken.stp.StpUtil: void login(java.lang.Object)>
<com.macro.mall.service.impl.UmsAdminServiceImpl: cn.dev33.satoken.stp.SaTokenInfo login(java.lang.String,java.lang.String)>---><cn.dev33.satoken.stp.StpUtil: cn.dev33.satoken.session.SaSession getSession()>
<com.macro.mall.service.impl.UmsAdminServiceImpl: cn.dev33.satoken.stp.SaTokenInfo login(java.lang.String,java.lang.String)>---><cn.dev33.satoken.session.SaSession: cn.dev33.satoken.session.SaSession set(java.lang.String,java.lang.Object)>
<com.macro.mall.service.impl.UmsAdminServiceImpl: cn.dev33.satoken.stp.SaTokenInfo login(java.lang.String,java.lang.String)>---><cn.dev33.satoken.stp.StpUtil: cn.dev33.satoken.stp.SaTokenInfo getTokenInfo()>
<com.macro.mall.service.impl.UmsAdminServiceImpl: void insertLoginLog(com.macro.mall.model.UmsAdmin)>---><jakarta.servlet.http.HttpServletRequest: java.lang.String getRemoteAddr()>
<com.macro.mall.service.impl.UmsAdminServiceImpl: java.util.List list(java.lang.String,java.lang.Integer,java.lang.Integer)>---><com.github.pagehelper.PageHelper: com.github.pagehelper.Page startPage(int,int)>
<com.macro.mall.service.impl.UmsAdminServiceImpl: int update(java.lang.Long,com.macro.mall.model.UmsAdmin)>---><cn.hutool.core.util.StrUtil: boolean isEmpty(java.lang.CharSequence)>
<com.macro.mall.service.impl.UmsAdminServiceImpl: int update(java.lang.Long,com.macro.mall.model.UmsAdmin)>---><cn.hutool.crypto.digest.BCrypt: java.lang.String hashpw(java.lang.String)>
<com.macro.mall.service.impl.UmsAdminServiceImpl: int updatePassword(com.macro.mall.dto.UpdateAdminPasswordParam)>---><cn.hutool.core.util.StrUtil: boolean isEmpty(java.lang.CharSequence)>
<com.macro.mall.service.impl.UmsAdminServiceImpl: int updatePassword(com.macro.mall.dto.UpdateAdminPasswordParam)>---><cn.hutool.core.util.StrUtil: boolean isEmpty(java.lang.CharSequence)>
<com.macro.mall.service.impl.UmsAdminServiceImpl: int updatePassword(com.macro.mall.dto.UpdateAdminPasswordParam)>---><cn.hutool.core.util.StrUtil: boolean isEmpty(java.lang.CharSequence)>
<com.macro.mall.service.impl.UmsAdminServiceImpl: int updatePassword(com.macro.mall.dto.UpdateAdminPasswordParam)>---><cn.hutool.core.collection.CollUtil: boolean isEmpty(java.util.Collection)>
<com.macro.mall.service.impl.UmsAdminServiceImpl: int updatePassword(com.macro.mall.dto.UpdateAdminPasswordParam)>---><cn.hutool.crypto.digest.BCrypt: boolean checkpw(java.lang.String,java.lang.String)>
<com.macro.mall.service.impl.UmsAdminServiceImpl: int updatePassword(com.macro.mall.dto.UpdateAdminPasswordParam)>---><cn.hutool.crypto.digest.BCrypt: java.lang.String hashpw(java.lang.String)>
<com.macro.mall.service.impl.UmsAdminServiceImpl: com.macro.mall.model.UmsAdmin getCurrentAdmin()>---><cn.dev33.satoken.stp.StpUtil: cn.dev33.satoken.session.SaSession getSession()>
<com.macro.mall.service.impl.UmsAdminServiceImpl: com.macro.mall.model.UmsAdmin getCurrentAdmin()>---><cn.dev33.satoken.session.SaSession: java.lang.Object get(java.lang.String)>
<com.macro.mall.service.impl.UmsAdminServiceImpl: void logout()>---><cn.dev33.satoken.stp.StpUtil: cn.dev33.satoken.session.SaSession getSession()>
<com.macro.mall.service.impl.UmsAdminServiceImpl: void logout()>---><cn.dev33.satoken.session.SaSession: java.lang.Object get(java.lang.String)>
<com.macro.mall.service.impl.UmsAdminServiceImpl: void logout()>---><cn.dev33.satoken.stp.StpUtil: void logout()>
<com.macro.mall.service.impl.UmsAdminServiceImpl: void <clinit>()>---><org.slf4j.LoggerFactory: org.slf4j.Logger getLogger(java.lang.Class)>
